class;unicode
0;0BBE
1;0B85
2;0B86
3;0B87
4;0B88
5;0B89
6;0B8A
7;0B8E
8;0B8F
9;0B90
10;0B92
11;0B93
12;0B94
13;0B83
14;0B95 0BCD
15;0B95
16;0B95 0BBF
17;0B95 0BC0
18;0B95 0BC1
19;0B95 0BC2
20;0B9A 0BCD
21;0B9A
22;0B9A 0BBF
23;0B9A 0BC0
24;0B9A 0BC1
25;0B9A 0BC2
26;0B99 0BCD
27;0B99
28;0B99 0BBF
29;0B99 0BC0
30;0B99 0BC1
31;0B99 0BC2
32;0B9E 0BCD
33;0B9E
34;0B9E 0BBF
35;0B9E 0BC0
36;0B9E 0BC1
37;0B9E 0BC2
38;0B9F 0BCD
39;0B9F
40;0B9F 0BBF
41;0B9F 0BC0
42;0B9F 0BC1
43;0B9F 0BC2
44;0BA3 0BCD
45;0BA3
46;0BA3 0BBF
47;0BA3 0BC0
48;0BA3 0BC1
49;0BA3 0BC2
50;0BA4 0BCD
51;0BA4
52;0BA4 0BBF
53;0BA4 0BC0
54;0BA4 0BC1
55;0BA4 0BC2
56;0BA8 0BCD
57;0BA8
58;0BA8 0BBF
59;0BA8 0BC0
60;0BA8 0BC1
61;0BA8 0BC2
62;0BAA 0BCD
63;0BAA
64;0BAA 0BBF
65;0BAA 0BC0
66;0BAA 0BC1
67;0BAA 0BC2
68;0BAE 0BCD
69;0BAE
70;0BAE 0BBF
71;0BAE 0BC0
72;0BAE 0BC1
73;0BAE 0BC2
74;0BAF 0BCD
75;0BAF
76;0BAF 0BBF
77;0BAF 0BC0
78;0BAF 0BC1
79;0BAF 0BC2
80;0BB0 0BCD
81;0BB0
82;0BB0 0BBF
83;0BB0 0BC0
84;0BB0 0BC1
85;0BB0 0BC2
86;0BB2 0BCD
87;0BB2
88;0BB2 0BBF
89;0BB2 0BC0
90;0BB2 0BC1
91;0BB2 0BC2
92;0BB3 0BCD
93;0BB3
94;0BB3 0BBF
95;0BB3 0BC0
96;0BB3 0BC1
97;0BB3 0BC2
98;0BB1 0BCD
99;0BB1
100;0BB1 0BBF
101;0BB1 0BC0
102;0BB1 0BC1
103;0BB1 0BC2
104;0BB5 0BCD
105;0BB5
106;0BB5 0BBF
107;0BB5 0BC0
108;0BB5 0BC1
109;0BB5 0BC2
110;0BB4 0BCD
111;0BB4
112;0BB4 0BBF
113;0BB4 0BC0
114;0BB4 0BC1
115;0BB4 0BC2
116;0BA9 0BCD
117;0BA9
118;0BA9 0BBF
119;0BA9 0BC0
120;0BA9 0BC1
121;0BB7 0BBF
122;0BB7 0BC0
123;0BB7 0BC1
124;0BB7 0BC2
125;0B95 0BCD 0BB7
126;0B95 0BCD 0BB7 0BCD
127;0B95 0BCD 0BB7 0BBF
128;0B95 0BCD 0BB7 0BC0
129;0B9C 0BC1
130;0B9C 0BC2
131;0BB9
132;0BB9 0BCD
133;0BB9 0BBF
134;0BB9 0BC0
135;0BB9 0BC1
136;0BB9 0BC2
137;0BB8
138;0BB8 0BCD
139;0BB8 0BBF
140;0BB8 0BC0
141;0BB8 0BC1
142;0BB8 0BC2
143;0BB7
144;0BB7 0BCD
145;0BA9 0BC2
146;0BB8 0BCD 0BB0 0BC0
147;0B95 0BCD 0BB7 0BC2
148;0B9C
149;0B9C 0BCD
150;0B9C 0BBF
151;0B9C 0BC0
152;0B95 0BCD 0BB7 0BC1
153;0BC6
154;0BC7
155;0BC8
